name,type,isi,usfs,,,
Two-Foot Glide,,Pre-Alpha,Basic 1,,,
One-Foot Glide (Left & Right),,Pre-Alpha,Basic 2,,,
Forward Swizzle,,Pre-Alpha,Basic 1,,,
Backward Wiggle,,Pre-Alpha,Basic 1,,,
Backward Swizzle,,Pre-Alpha,Basic 2,,,
Forward Stroking,Warmup,Alpha,Basic 3,,,
Forward Crossovers (CW),Warmup,Alpha,Basic 4,,,
Forward Crossovers (CCW),Warmup,Alpha,Basic 4,,,
One-Foot Snowplow Stop,,Alpha,Basic 1,,,
Backward Stroking,Warmup,Beta,Basic 4,,,
Backward Crossovers (CW),Warmup,Beta,Basic 5,,,
Backward Crossovers (CCW),Warmup,Beta,Basic 5,,,
T-Stop (Left & Right),Stop,Beta,Basic 6,,,
Forward Outside 3-Turn (Left & Right),Turn,Gamma,Basic 4,,,
Forward Inside Mohawk (Left & Right),Turn,Gamma,Basic 7,,,
Hockey Stop,Stop,Gamma,Basic 5,,,
Forward Inside 3-Turn (Left & Right),Turn,Delta,Basic 6,,,
Forward Outside edges (Left & Right),Edge,Delta,Basic 4,,,
Forward Inside Edges (Left & Right),Edge,Delta,Basic 4,,,
Shoot-the-Duck,,Delta,,,,
Lunge,,Delta,Basic 6,,,
Bunny Hop,Jump,Delta,Basic 6,,,
Forward Inside Pivot,Spin,Freestyle 1,,,,
Two-Foot Spin,Spin,Freestyle 1,Basic 3,,,
Forward Arabesque,Edge,Freestyle 1,,,,
Backward Inside Edges (Left & Right),Edge,Freestyle 1,Basic 5,,,
Backward Outside Edges (Left & Right),Edge,Freestyle 1,Basic 5,,,
One-Half Flip,Jump,Freestyle 1,,,,
Waltz Jump,Jump,Freestyle 1,Basic 8,,,
Ballet Jump,Jump,Freestyle 2,Basic 7,,,
Jump Sequence: Waltz jump / Tap-toe jump / 3-turn or Mohawk turn / One-Half Flip jump,Jump,Freestyle 2,,,,
One-Half Lutz,Jump,Freestyle 2,,,,
One-Foot Spin,Spin,Freestyle 2,Basic 5,,,
Forward Inside Arabesque (Left & Right),Edge,Freestyle 2,,,,
Forward Outside Arabesque (Left & Right),Edge,Freestyle 2,,,,
Dance Step Sequence (FS 2),Turn,Freestyle 2,,,,
Back Pivot (Inside & Outside),Spin,Freestyle 3,,,,
Salchow Jump,Jump,Freestyle 3,,,,
Change Foot Spin,Spin,Freestyle 3,,,,
Backward Arabesque,Edge,Freestyle 3,,,,
Toe Loop Jump or Toe Walley Jump,Jump,Freestyle 3,,,,
Dance Step Sequence (FS 3),Turn,Freestyle 3,,,,
Flip Jump,Jump,Freestyle 4,,,,
Loop Jump,Jump,Freestyle 4,,,,
Sit Spin,Spin,Freestyle 4,,,,
One-Half Loop Jump,Jump,Freestyle 4,,,,
Backward Inside Arabesque (Left & Right),Edge,Freestyle 4,,,,
Backward Outside Arabesque (Left & Right),Edge,Freestyle 4,,,,
Backward Outside 3-Turn (Left & Right),Turn,Freestyle 4,,,,
Backward Inside 3-Turn (Left & Right),Turn,Freestyle 4,,,,
Lutz Jump,Jump,Freestyle 5,,,,
Axel Jump,Jump,Freestyle 5,,,,
Camel Spin,Spin,Freestyle 5,,,,
Camel-Sit-Upright Spin,Spin,Freestyle 5,,,,
Fast Back Scratch Spin,Spin,Freestyle 5,,,,
Forward Outside Closed Swing Choctaw (Left & Right),Turn,Freestyle 5,,,,
Forward Inside Open Choctaw (Left & Right),Turn,Freestyle 5,,,,
Forward Outside Bracket (Left & Right),Turn,Freestyle 5,,,,
Forward Inside Bracket (Left & Right),Turn,Freestyle 5,,,,
Forward Inside Twizzle (Left & Right),Turn,Freestyle 5,,,,
Back Outside Twizzle (Left & Right),Turn,Freestyle 5,,,,
Split Jump,Jump,Freestyle 6,,,,
Split Falling Leaf Jump,Jump,Freestyle 6,,,,
Jump Sequence: Axel / One-Half Loop / Flip Jump,Jump,Freestyle 6,,,,
Double Salchow Jump,Jump,Freestyle 6,,,,
"Spin Combination: Cross Foot, Layback, or Sit Change Sit Spin",Spin,Freestyle 6,,,,
Forward Outside Rocker (Left & Right),Turn,Freestyle 6,,,,
Backward Inside Counter (Left & Right),Turn,Freestyle 6,,,,
Back Inside Loop (Left & Right),Turn,Freestyle 6,,,,
Double Toe Loop,Jump,Freestyle 7,,,,
Two Walley Jumps in a Row,Jump,Freestyle 7,,,,
Combination Spin with Change of Foot and Position,Spin,Freestyle 7,,,,
Flying Camel Spin,Spin,Freestyle 7,,,,
Jump Sequence: One-Foot Axel / One-Quarter Flip / Axel Jump in Opposite Direction,Jump,Freestyle 7,,,,
Jump in Opposite Direction (Choice of one: Flip / Loop / Lutz),Jump,Freestyle 7,,,,
Forward Inside Counter (Left & Right),Turn,Freestyle 7,,,,
Back Inside Rocker (Left & Right),Turn,Freestyle 7,,,,
Outside Double Twizzle (Left & Right),Turn,Freestyle 7,,,,
Forward Inside 1 1/2 Twizzle,Turn,Freestyle 7,,,,
Double Loop Jump,Jump,Freestyle 8,,,,
Double Flip Jump,Jump,Freestyle 8,,,,
Split Lutz Jump,Jump,Freestyle 8,,,,
Flying Sit Spin or Axel Sit Spin,Spin,Freestyle 8,,,,
Jump Sequence: One and One-Quarter Flip / One and One-Quarter Flip / Double Salchow,Jump,Freestyle 8,,,,
Camel-Jump-Camel-Spin,Spin,Freestyle 8,,,,
Backward Inside Bracket (Left & Right),Turn,Freestyle 8,,,,
Forward Outside 1 1/2 Twizzle (Left & Right),Turn,Freestyle 8,,,,
Forward Outside Loop (Left & Right),Turn,Freestyle 8,,,,
Opposite Spin,Spin,Freestyle 9,,,,
Double Lutz Jump,Jump,Freestyle 9,,,,
Axel / Double Loop Jump Combination,Jump,Freestyle 9,,,,
Axel in Opposite Direction or Double Axel Jump,Jump,Freestyle 9,,,,
Jump Combination: Rocker or Counter Jump / Double Toe Assisted Jump / Double Loop,Jump,Freestyle 9,,,,
Flying Camel into a Jump Sit Spin,Spin,Freestyle 9,,,,
Dance Step Sequence (FS 9),Turn,Freestyle 9,,,,
Double Axel / Double Toe Loop Jump Combination,Jump,Freestyle 10,,,,
Triple Edge Jump (Skaterâ€™s Choice),Jump,Freestyle 10,,,,
Death Drop,Spin,Freestyle 10,,,,
Four Alternating Axels in a Row or Triple Toe Assist Jump,Jump,Freestyle 10,,,,
Double Jump to the Right and Double Jump to the Left or Triple Toe Assisted Jump / Double Loop Jump Combination,Jump,Freestyle 10,,,,
Three Arabian Cartwheels or Butterfly Jumps in a Row,Jump,Freestyle 10,,,,
Creative Dance Step Sequence (FS 10),Turn,Freestyle 10,,,,